Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,89.000000,89.300003,86.750000,88.400002,88.400002,36228033
2022-08-24,86.849998,87.500000,85.500000,86.250000,86.250000,35976874
2022-08-25,90.000000,95.199997,88.900002,93.800003,93.800003,66382425
2022-08-26,97.650002,97.650002,94.699997,95.800003,95.800003,54668306
2022-08-29,94.750000,96.800003,93.800003,95.150002,95.150002,37070401
2022-08-30,95.400002,95.449997,92.699997,95.199997,95.199997,35706777
2022-08-31,91.900002,96.900002,91.500000,94.300003,94.300003,52002425
2022-09-01,93.849998,95.550003,91.849998,92.199997,92.199997,41471390
2022-09-02,92.000000,92.750000,90.199997,90.650002,90.650002,40477868
2022-09-05,89.500000,89.500000,87.550003,88.500000,88.500000,35505940
2022-09-06,88.849998,89.500000,87.199997,88.050003,88.050003,29242315
2022-09-07,86.099998,87.849998,85.949997,87.400002,87.400002,28479263
2022-09-08,88.500000,89.199997,86.750000,87.199997,87.199997,33528981
2022-09-09,87.199997,90.349998,86.550003,89.800003,89.800003,31544613
2022-09-13,91.800003,92.300003,90.800003,91.199997,91.199997,41280098
2022-09-14,87.800003,88.300003,86.900002,87.099998,87.099998,35250138
2022-09-15,86.900002,88.550003,86.900002,88.099998,88.099998,21920813
2022-09-16,86.699997,87.650002,86.050003,86.800003,86.800003,39457544
2022-09-19,85.050003,85.500000,83.199997,83.699997,83.699997,41066371
2022-09-20,85.300003,87.349998,85.099998,86.199997,86.199997,36089021
2022-09-21,84.099998,84.150002,82.599998,83.050003,83.050003,37225757
2022-09-22,80.000000,81.000000,79.699997,80.849998,80.849998,49260960
2022-09-23,79.150002,80.349998,78.400002,78.400002,78.400002,45213463
2022-09-26,77.400002,80.300003,76.699997,78.699997,78.699997,47488911
2022-09-27,78.599998,79.199997,76.050003,77.900002,77.900002,49807775
2022-09-28,76.550003,77.250000,74.449997,74.699997,74.699997,53790769
2022-09-29,78.849998,79.199997,75.849998,76.849998,76.849998,62711018
2022-09-30,77.300003,78.750000,75.900002,77.949997,77.949997,46992673
2022-10-03,77.900002,78.750000,76.800003,77.650002,77.650002,30742228
2022-10-05,82.000000,84.599998,81.400002,84.199997,84.199997,65113124
2022-10-06,83.000000,84.550003,82.650002,83.150002,83.150002,29151683
2022-10-07,81.699997,82.800003,81.199997,81.349998,81.349998,27043107
2022-10-10,79.250000,79.550003,78.000000,78.699997,78.699997,28520208
2022-10-11,78.150002,78.599998,75.599998,76.000000,76.000000,39298810
2022-10-12,74.500000,77.349998,72.300003,74.349998,74.349998,56354876
2022-10-13,74.349998,74.949997,72.599998,72.750000,72.750000,25774888
